"date","rights","n"
"1991","accès dans Gallica",803
"1991","accès dans Retronews",11
"1991","autre accès restreint",1
"1992","accès dans Gallica",792
"1992","accès dans Retronews",4
"1992","autre accès restreint",1
"1993","accès dans Gallica",821
"1993","accès dans Retronews",8
"1993","autre accès restreint",2
"1994","accès dans Gallica",793
"1994","accès dans Retronews",10
"1994","autre accès restreint",2
"1995","accès dans Gallica",846
"1995","accès dans Retronews",10
"1995","autre accès restreint",2
"1996","accès dans Gallica",816
"1996","accès dans Retronews",8
"1996","autre accès restreint",2
"1997","accès dans Gallica",750
"1997","accès dans Retronews",9
"1997","autre accès restreint",2
"1998","accès dans Gallica",731
"1998","accès dans Retronews",11
"1998","autre accès restreint",2
"1999","accès dans Gallica",620
"1999","accès dans Retronews",10
"1999","autre accès restreint",2
"2000","accès dans Gallica",624
"2000","accès dans Retronews",10
"2000","autre accès restreint",2
"2001","accès dans Gallica",543
"2001","accès dans Retronews",7
"2001","autre accès restreint",2
"2002","accès dans Gallica",504
"2002","autre accès restreint",2
"2003","accès dans Gallica",478
"2003","autre accès restreint",2
"2004","accès dans Gallica",465
"2004","autre accès restreint",1
"2005","accès dans Gallica",392
"2006","accès dans Gallica",359
"2007","accès dans Gallica",342
"2008","accès dans Gallica",311
"2009","accès dans Gallica",286
"2010","accès dans Gallica",196
"2011","accès dans Gallica",187
"2012","accès dans Gallica",178
"2013","accès dans Gallica",142
"2014","accès dans Gallica",116
"2015","accès dans Gallica",105
"2016","accès dans Gallica",71
"2017","accès dans Gallica",54
"2018","accès dans Gallica",39
"2019","accès dans Gallica",7
