n,annee,mois
43638546,1898,5
41037247,1898,6
43653419,1898,7
42759553,1898,8
43709674,1898,9
46016675,1898,10
44711251,1898,11
45148617,1898,12
42581462,1899,1
40265549,1899,2
45603467,1899,3
43127879,1899,4
43574663,1899,5
42798399,1899,6
40671304,1899,7
41623265,1899,8
39336481,1899,9
47168345,1899,10
45457905,1899,11
44712425,1899,12
45566929,1900,1
44243464,1900,2
51377934,1900,3
44475535,1900,4
50061510,1900,5
44463538,1900,6
43867040,1900,7
44771773,1900,8
44416582,1900,9
46190171,1900,10
43520964,1900,11
43334993,1900,12
45010073,1901,1
41191960,1901,2
47677155,1901,3
43558865,1901,4
45647271,1901,5
42999859,1901,6
45081801,1901,7
46037892,1901,8
43874583,1901,9
49550363,1901,10
47303140,1901,11
45893036,1901,12
42915700,1902,1
38971414,1902,2
44583711,1902,3
47734180,1902,4
45997032,1902,5
44495046,1902,6
46625744,1902,7
44857423,1902,8
44352916,1902,9
48586997,1902,10
45456829,1902,11
42673669,1902,12
47765664,1903,1
45398218,1903,2
51151902,1903,3
47621368,1903,4
51843192,1903,5
46540453,1903,6
49937503,1903,7
49503768,1903,8
49696634,1903,9
52500086,1903,10
48462171,1903,11
44299042,1903,12
47800171,1904,1
48214080,1904,2
53948556,1904,3
48748627,1904,4
50515482,1904,5
50604197,1904,6
51171191,1904,7
49183002,1904,8
49999579,1904,9
52752595,1904,10
51613890,1904,11
52826412,1904,12
52872396,1905,1
50149271,1905,2
56208745,1905,3
54073921,1905,4
61229355,1905,5
52169736,1905,6
53658277,1905,7
54189396,1905,8
53572083,1905,9
56698362,1905,10
54236068,1905,11
51901036,1905,12
51389464,1906,1
49976697,1906,2
56561451,1906,3
49954318,1906,4
56844554,1906,5
50353474,1906,6
52465193,1906,7
51827533,1906,8
48588429,1906,9
58998754,1906,10
56682487,1906,11
56205624,1906,12
56204301,1907,1
51311692,1907,2
58938455,1907,3
55196606,1907,4
57247852,1907,5
55628479,1907,6
54865325,1907,7
54512035,1907,8
55031606,1907,9
60187906,1907,10
58334972,1907,11
51511696,1907,12
57054668,1908,1
57892172,1908,2
59914698,1908,3
57598309,1908,4
63009503,1908,5
55332291,1908,6
56985183,1908,7
55251939,1908,8
52650768,1908,9
55624940,1908,10
56972523,1908,11
57877114,1908,12
60134839,1909,1
56461773,1909,2
64467810,1909,3
58888403,1909,4
61909328,1909,5
59450835,1909,6
60110550,1909,7
55809647,1909,8
58339898,1909,9
61623503,1909,10
57441569,1909,11
61592287,1909,12
55205676,1910,1
53693064,1910,2
59637985,1910,3
59741220,1910,4
55600245,1910,5
57059047,1910,6
51815127,1910,7
54709680,1910,8
56275802,1910,9
58082578,1910,10
56411508,1910,11
53606323,1910,12
53684882,1911,1
49668176,1911,2
59226364,1911,3
52224140,1911,4
57790532,1911,5
52136228,1911,6
53746616,1911,7
53197131,1911,8
53670260,1911,9
55866806,1911,10
51214615,1911,11
54568914,1911,12
53275586,1912,1
55374393,1912,2
61796609,1912,3
54266709,1912,4
58848891,1912,5
55391624,1912,6
54124768,1912,7
53700887,1912,8
49841958,1912,9
52826921,1912,10
51428884,1912,11
52275101,1912,12
53747072,1913,1
50377905,1913,2
54067432,1913,3
57341086,1913,4
57047534,1913,5
55372899,1913,6
55628270,1913,7
54266401,1913,8
55583138,1913,9
60203317,1913,10
56384235,1913,11
56852376,1913,12
56851262,1914,1
